entity1, type1,   entity2, type2,   relation_type,   source
D001761,Chemical,MESH:C535575,Disease,-,ctd
D002945,Chemical,MESH:C535575,Disease,-,ctd
D002955,Chemical,MESH:C535575,Disease,-,ctd
D004317,Chemical,MESH:C535575,Disease,-,ctd
D005472,Chemical,MESH:C535575,Disease,-,ctd
D008727,Chemical,MESH:C535575,Disease,-,ctd
D014750,Chemical,MESH:C535575,Disease,-,ctd
D016190,Chemical,MESH:C535575,Disease,-,ctd
D017239,Chemical,MESH:C535575,Disease,-,ctd
D028321,Chemical,MESH:C535575,Disease,-,ctd
C043211,Chemical,MESH:C535581,Disease,-,ctd
D000638,Chemical,MESH:C535581,Disease,-,ctd
D004232,Chemical,MESH:C535581,Disease,-,ctd
D004656,Chemical,MESH:C535581,Disease,-,ctd
D003401,Chemical,MESH:C535598,Disease,-,ctd
D004317,Chemical,MESH:C535648,Disease,-,ctd
D015474,Chemical,MESH:C535670,Disease,-,ctd
D019821,Chemical,MESH:C535686,Disease,-,ctd
C064227,Chemical,MESH:C535700,Disease,-,ctd
D007069,Chemical,MESH:C535700,Disease,-,ctd
D001379,Chemical,MESH:C535761,Disease,-,ctd
D011241,Chemical,MESH:C535761,Disease,-,ctd
D016572,Chemical,MESH:C535761,Disease,-,ctd
C111420,Chemical,MESH:C535803,Disease,-,ctd
D020888,Chemical,MESH:C535803,Disease,-,ctd
D004053,Chemical,MESH:C535833,Disease,-,ctd
D005277,Chemical,MESH:C535833,Disease,-,ctd
D015282,Chemical,MESH:C535838,Disease,-,ctd
D013749,Chemical,MESH:C535841,Disease,-,ctd
C009495,Chemical,MESH:C535854,Disease,-,ctd
C030419,Chemical,MESH:C535854,Disease,-,ctd
C048763,Chemical,MESH:C535854,Disease,-,ctd
C091888,Chemical,MESH:C535854,Disease,-,ctd
D000535,Chemical,MESH:C535854,Disease,-,ctd
D001151,Chemical,MESH:C535854,Disease,-,ctd
D002104,Chemical,MESH:C535854,Disease,-,ctd
D002336,Chemical,MESH:C535854,Disease,-,ctd
D003300,Chemical,MESH:C535854,Disease,-,ctd
D003676,Chemical,MESH:C535854,Disease,-,ctd
D004050,Chemical,MESH:C535854,Disease,-,ctd
D004113,Chemical,MESH:C535854,Disease,-,ctd
D007501,Chemical,MESH:C535854,Disease,-,ctd
D009532,Chemical,MESH:C535854,Disease,-,ctd
D010396,Chemical,MESH:C535854,Disease,-,ctd
D014494,Chemical,MESH:C535854,Disease,-,ctd
D014501,Chemical,MESH:C535854,Disease,-,ctd
D015034,Chemical,MESH:C535854,Disease,-,ctd
D012102,Chemical,MESH:C535908,Disease,-,ctd
C579439,Chemical,MESH:C535932,Disease,-,ctd
D014580,Chemical,MESH:C535932,Disease,-,ctd
D014580,Chemical,MESH:C535933,Disease,-,ctd
D010936,Chemical,MESH:C535935,Disease,-,ctd
D003606,Chemical,MESH:C535944,Disease,-,ctd
D004317,Chemical,MESH:C535944,Disease,-,ctd
D016190,Chemical,MESH:C535944,Disease,-,ctd
D008911,Chemical,MESH:C535953,Disease,-,ctd
C027576,Chemical,MESH:C536004,Disease,-,ctd
D007501,Chemical,MESH:C536004,Disease,-,ctd
D008315,Chemical,MESH:C536004,Disease,-,ctd
D015767,Chemical,MESH:C536010,Disease,-,ctd
C019248,Chemical,MESH:C536063,Disease,-,ctd
D009543,Chemical,MESH:C536096,Disease,-,ctd
D014700,Chemical,MESH:C536096,Disease,-,ctd
D015742,Chemical,MESH:C536096,Disease,-,ctd
D010672,Chemical,MESH:C536226,Disease,-,ctd
C059514,Chemical,MESH:C536282,Disease,-,ctd
D000635,Chemical,MESH:C536282,Disease,-,ctd
D000661,Chemical,MESH:C536282,Disease,-,ctd
D001067,Chemical,MESH:C536282,Disease,-,ctd
D003042,Chemical,MESH:C536282,Disease,-,ctd
D005277,Chemical,MESH:C536282,Disease,-,ctd
D008694,Chemical,MESH:C536282,Disease,-,ctd
D010047,Chemical,MESH:C536282,Disease,-,ctd
D010645,Chemical,MESH:C536282,Disease,-,ctd
D019821,Chemical,MESH:C536282,Disease,-,ctd
D009288,Chemical,MESH:C536312,Disease,-,ctd
D014046,Chemical,MESH:C536312,Disease,-,ctd
C524865,Chemical,MESH:C536330,Disease,-,ctd
D010656,Chemical,MESH:C536334,Disease,-,ctd
D013015,Chemical,MESH:C536334,Disease,-,ctd
D001629,Chemical,MESH:C536353,Disease,-,ctd
C016104,Chemical,MESH:C536357,Disease,-,ctd
C074702,Chemical,MESH:C536357,Disease,-,ctd
D007501,Chemical,MESH:C536357,Disease,-,ctd
D010396,Chemical,MESH:C536380,Disease,-,ctd
D017257,Chemical,MESH:C536380,Disease,-,ctd
D001241,Chemical,MESH:C536392,Disease,-,ctd
D015366,Chemical,MESH:C536404,Disease,-,ctd
D000432,Chemical,MESH:C536409,Disease,-,ctd
C089750,Chemical,MESH:C536421,Disease,-,ctd
D001241,Chemical,MESH:C536421,Disease,-,ctd
D001262,Chemical,MESH:C536421,Disease,-,ctd
D003520,Chemical,MESH:C536421,Disease,-,ctd
D004087,Chemical,MESH:C536421,Disease,-,ctd
D004110,Chemical,MESH:C536421,Disease,-,ctd
D005472,Chemical,MESH:C536421,Disease,-,ctd
D009530,Chemical,MESH:C536421,Disease,-,ctd
D009543,Chemical,MESH:C536421,Disease,-,ctd
D014700,Chemical,MESH:C536421,Disease,-,ctd
D015283,Chemical,MESH:C536421,Disease,-,ctd
D020117,Chemical,MESH:C536421,Disease,-,ctd
C006632,Chemical,MESH:C536494,Disease,-,ctd
D004317,Chemical,MESH:C536495,Disease,-,ctd
D002738,Chemical,MESH:C536522,Disease,-,ctd
D002745,Chemical,MESH:C536522,Disease,-,ctd
D003078,Chemical,MESH:C536522,Disease,-,ctd
D016572,Chemical,MESH:C536522,Disease,-,ctd
D014635,Chemical,MESH:C536525,Disease,-,ctd
C005855,Chemical,MESH:C536561,Disease,-,ctd
C023336,Chemical,MESH:C536561,Disease,-,ctd
D000493,Chemical,MESH:C536572,Disease,-,ctd
D001379,Chemical,MESH:C536572,Disease,-,ctd
D002066,Chemical,MESH:C536572,Disease,-,ctd
D002699,Chemical,MESH:C536572,Disease,-,ctd
D002927,Chemical,MESH:C536572,Disease,-,ctd
D003520,Chemical,MESH:C536572,Disease,-,ctd
D004317,Chemical,MESH:C536572,Disease,-,ctd
D005472,Chemical,MESH:C536572,Disease,-,ctd
D008727,Chemical,MESH:C536572,Disease,-,ctd
D013839,Chemical,MESH:C536572,Disease,-,ctd
D014747,Chemical,MESH:C536572,Disease,-,ctd
D014750,Chemical,MESH:C536572,Disease,-,ctd
D015376,Chemical,MESH:C536572,Disease,-,ctd
D006493,Chemical,MESH:C536610,Disease,-,ctd
D014859,Chemical,MESH:C536683,Disease,-,ctd
C061333,Chemical,MESH:C536694,Disease,-,ctd
D010406,Chemical,MESH:C536773,Disease,-,ctd
D000666,Chemical,MESH:C536777,Disease,-,ctd
D008825,Chemical,MESH:C536777,Disease,-,ctd
D010917,Chemical,MESH:C536778,Disease,-,ctd
D014635,Chemical,MESH:C536778,Disease,-,ctd
D010672,Chemical,MESH:C536779,Disease,-,ctd
D017338,Chemical,MESH:C536783,Disease,-,ctd
D002118,Chemical,MESH:C536797,Disease,-,ctd
C418563,Chemical,MESH:C536855,Disease,-,ctd
D016049,Chemical,MESH:C536855,Disease,-,ctd
D061466,Chemical,MESH:C536855,Disease,-,ctd
C076996,Chemical,MESH:C536871,Disease,-,ctd
C012655,Chemical,MESH:C536875,Disease,-,ctd
C013099,Chemical,MESH:C536875,Disease,-,ctd
D008627,Chemical,MESH:C536875,Disease,-,ctd
D013196,Chemical,MESH:C536875,Disease,-,ctd
D003042,Chemical,MESH:C536884,Disease,-,ctd
D010396,Chemical,MESH:C536901,Disease,-,ctd
C098320,Chemical,MESH:C536910,Disease,-,ctd
D017239,Chemical,MESH:C536910,Disease,-,ctd
C059514,Chemical,MESH:C536914,Disease,-,ctd
C422923,Chemical,MESH:C536915,Disease,-,ctd
D014221,Chemical,MESH:C536957,Disease,-,ctd
D010672,Chemical,MESH:C537030,Disease,-,ctd
D011324,Chemical,MESH:C537030,Disease,-,ctd
D014635,Chemical,MESH:C537030,Disease,-,ctd
D001971,Chemical,MESH:C537072,Disease,-,ctd
D004656,Chemical,MESH:C537095,Disease,-,ctd
D008790,Chemical,MESH:C537095,Disease,-,ctd
D017311,Chemical,MESH:C537095,Disease,-,ctd
D003981,Chemical,MESH:C537150,Disease,-,ctd
D000583,Chemical,MESH:C537152,Disease,-,ctd
D000584,Chemical,MESH:C537152,Disease,-,ctd
D000666,Chemical,MESH:C537152,Disease,-,ctd
D002207,Chemical,MESH:C537152,Disease,-,ctd
D002945,Chemical,MESH:C537152,Disease,-,ctd
D008278,Chemical,MESH:C537152,Disease,-,ctd
D016190,Chemical,MESH:C537152,Disease,-,ctd
D016559,Chemical,MESH:C537152,Disease,-,ctd
D049971,Chemical,MESH:C537152,Disease,-,ctd
D002207,Chemical,MESH:C537153,Disease,-,ctd
D005665,Chemical,MESH:C537153,Disease,-,ctd
D008274,Chemical,MESH:C537153,Disease,-,ctd
D011188,Chemical,MESH:C537153,Disease,-,ctd
D016559,Chemical,MESH:C537153,Disease,-,ctd
D049971,Chemical,MESH:C537153,Disease,-,ctd
D064747,Chemical,MESH:C537153,Disease,-,ctd
C008088,Chemical,MESH:C537156,Disease,-,ctd
D002119,Chemical,MESH:C537156,Disease,-,ctd
D010269,Chemical,MESH:C537171,Disease,-,ctd
D014494,Chemical,MESH:C537171,Disease,-,ctd
D000628,Chemical,MESH:C537181,Disease,-,ctd
D002110,Chemical,MESH:C537181,Disease,-,ctd
D014212,Chemical,MESH:C537221,Disease,-,ctd
D005557,Chemical,MESH:C537268,Disease,-,ctd
D001564,Chemical,MESH:C537277,Disease,-,ctd
D005038,Chemical,MESH:C537277,Disease,-,ctd
D008770,Chemical,MESH:C537277,Disease,-,ctd
D015112,Chemical,MESH:C537277,Disease,-,ctd
D015127,Chemical,MESH:C537277,Disease,-,ctd
C017367,Chemical,MESH:C537296,Disease,-,ctd
D002945,Chemical,MESH:C537296,Disease,-,ctd
D013629,Chemical,MESH:C537296,Disease,-,ctd
C108606,Chemical,MESH:C537345,Disease,-,ctd
D012855,Chemical,MESH:C537345,Disease,-,ctd
D003042,Chemical,MESH:C537347,Disease,-,ctd
D004074,Chemical,MESH:C537347,Disease,-,ctd
D004967,Chemical,MESH:C537347,Disease,-,ctd
D009599,Chemical,MESH:C537347,Disease,-,ctd
D011433,Chemical,MESH:C537347,Disease,-,ctd
D011441,Chemical,MESH:C537347,Disease,-,ctd
C053670,Chemical,MESH:C537358,Disease,-,ctd
C053671,Chemical,MESH:C537358,Disease,-,ctd
D008558,Chemical,MESH:C537372,Disease,-,ctd
D013390,Chemical,MESH:C537417,Disease,-,ctd
D006854,Chemical,MESH:C537422,Disease,-,ctd
D015215,Chemical,MESH:C537476,Disease,-,ctd
D003620,Chemical,MESH:C537480,Disease,-,ctd
D006719,Chemical,MESH:C537537,Disease,-,ctd
D007980,Chemical,MESH:C537537,Disease,-,ctd
D001710,Chemical,MESH:C537658,Disease,-,ctd
D004872,Chemical,MESH:C537700,Disease,-,ctd
C516879,Chemical,MESH:C537702,Disease,-,ctd
D003975,Chemical,MESH:C537748,Disease,-,ctd
D013311,Chemical,MESH:C537757,Disease,-,ctd
D014635,Chemical,MESH:C537757,Disease,-,ctd
D014212,Chemical,MESH:C537772,Disease,-,ctd
D015474,Chemical,MESH:C537772,Disease,-,ctd
D001379,Chemical,MESH:C537814,Disease,-,ctd
C034483,Chemical,MESH:C537844,Disease,-,ctd
C056903,Chemical,MESH:C537844,Disease,-,ctd
D001761,Chemical,MESH:C537844,Disease,-,ctd
D002945,Chemical,MESH:C537844,Disease,-,ctd
D005047,Chemical,MESH:C537844,Disease,-,ctd
D014750,Chemical,MESH:C537844,Disease,-,ctd
D016190,Chemical,MESH:C537844,Disease,-,ctd
D017239,Chemical,MESH:C537844,Disease,-,ctd
D003300,Chemical,MESH:C537860,Disease,-,ctd
C001521,Chemical,MESH:C537880,Disease,-,ctd
D014859,Chemical,MESH:C537884,Disease,-,ctd
D010672,Chemical,MESH:C537922,Disease,-,ctd
C059514,Chemical,MESH:C537948,Disease,-,ctd
D009243,Chemical,MESH:C537948,Disease,-,ctd
C076946,Chemical,MESH:C537968,Disease,-,ctd
D007980,Chemical,MESH:C537968,Disease,-,ctd
D014635,Chemical,MESH:C537968,Disease,-,ctd
D001241,Chemical,MESH:C537996,Disease,-,ctd
C009265,Chemical,MESH:C538007,Disease,-,ctd
D007980,Chemical,MESH:C538007,Disease,-,ctd
D001205,Chemical,MESH:C538011,Disease,-,ctd
D014801,Chemical,MESH:C538011,Disease,-,ctd
D014810,Chemical,MESH:C538011,Disease,-,ctd
D001379,Chemical,MESH:C538045,Disease,-,ctd
C007350,Chemical,MESH:C538080,Disease,-,ctd
C097613,Chemical,MESH:C538080,Disease,-,ctd
C101426,Chemical,MESH:C538080,Disease,-,ctd
D001241,Chemical,MESH:C538080,Disease,-,ctd
D014212,Chemical,MESH:C538080,Disease,-,ctd
C034868,Chemical,MESH:C538090,Disease,-,ctd
D002927,Chemical,MESH:C538090,Disease,-,ctd
D002945,Chemical,MESH:C538090,Disease,-,ctd
D002974,Chemical,MESH:C538090,Disease,-,ctd
D003520,Chemical,MESH:C538090,Disease,-,ctd
D003907,Chemical,MESH:C538090,Disease,-,ctd
D004317,Chemical,MESH:C538090,Disease,-,ctd
D016190,Chemical,MESH:C538090,Disease,-,ctd
D017239,Chemical,MESH:C538090,Disease,-,ctd
D017671,Chemical,MESH:C538090,Disease,-,ctd
C070055,Chemical,MESH:C538110,Disease,-,ctd
D017245,Chemical,MESH:C538117,Disease,-,ctd
D017255,Chemical,MESH:C538169,Disease,-,ctd
C511194,Chemical,MESH:C538173,Disease,-,ctd
D000806,Chemical,MESH:C538173,Disease,-,ctd
D004837,Chemical,MESH:C538173,Disease,-,ctd
D008775,Chemical,MESH:C538173,Disease,-,ctd
D017706,Chemical,MESH:C538173,Disease,-,ctd
D014212,Chemical,MESH:C538175,Disease,-,ctd
D007464,Chemical,MESH:C538178,Disease,-,ctd
D015032,Chemical,MESH:C538178,Disease,-,ctd
C012589,Chemical,MESH:C538231,Disease,-,ctd
C016583,Chemical,MESH:C538231,Disease,-,ctd
C030852,Chemical,MESH:C538231,Disease,-,ctd
C030935,Chemical,MESH:C538231,Disease,-,ctd
C040210,Chemical,MESH:C538231,Disease,-,ctd
C046627,Chemical,MESH:C538231,Disease,-,ctd
C059514,Chemical,MESH:C538231,Disease,-,ctd
C067311,Chemical,MESH:C538231,Disease,-,ctd
C085586,Chemical,MESH:C538231,Disease,-,ctd
C400278,Chemical,MESH:C538231,Disease,-,ctd
C419708,Chemical,MESH:C538231,Disease,-,ctd
C452423,Chemical,MESH:C538231,Disease,-,ctd
C497286,Chemical,MESH:C538231,Disease,-,ctd
C516714,Chemical,MESH:C538231,Disease,-,ctd
C551994,Chemical,MESH:C538231,Disease,-,ctd
D002945,Chemical,MESH:C538231,Disease,-,ctd
D004837,Chemical,MESH:C538231,Disease,-,ctd
D010624,Chemical,MESH:C538231,Disease,-,ctd
D011433,Chemical,MESH:C538231,Disease,-,ctd
D013806,Chemical,MESH:C538231,Disease,-,ctd
D014747,Chemical,MESH:C538231,Disease,-,ctd
D016685,Chemical,MESH:C538231,Disease,-,ctd
D017239,Chemical,MESH:C538231,Disease,-,ctd
D019833,Chemical,MESH:C538231,Disease,-,ctd
C043565,Chemical,MESH:C538235,Disease,-,ctd
C043566,Chemical,MESH:C538235,Disease,-,ctd
C555363,Chemical,MESH:C538235,Disease,-,ctd
D002231,Chemical,MESH:C538250,Disease,-,ctd
D008727,Chemical,MESH:C538250,Disease,-,ctd
D011241,Chemical,MESH:C538250,Disease,-,ctd
D003042,Chemical,MESH:C538260,Disease,-,ctd
D004997,Chemical,MESH:C538263,Disease,-,ctd
D009640,Chemical,MESH:C538263,Disease,-,ctd
C056507,Chemical,MESH:C538266,Disease,-,ctd
D013311,Chemical,MESH:C538268,Disease,-,ctd
D016190,Chemical,MESH:C538268,Disease,-,ctd
C059514,Chemical,MESH:C538339,Disease,-,ctd
C554292,Chemical,MESH:C538339,Disease,-,ctd
D002087,Chemical,MESH:C538339,Disease,-,ctd
D008769,Chemical,MESH:C538339,Disease,-,ctd
D047309,Chemical,MESH:C538339,Disease,-,ctd
C482205,Chemical,MESH:C538370,Disease,-,ctd
D002945,Chemical,MESH:C538370,Disease,-,ctd
D004317,Chemical,MESH:C538370,Disease,-,ctd
D008727,Chemical,MESH:C538370,Disease,-,ctd
C026359,Chemical,MESH:C538416,Disease,-,ctd
C056855,Chemical,MESH:C538416,Disease,-,ctd
D007980,Chemical,MESH:C538421,Disease,-,ctd
D008787,Chemical,MESH:C538446,Disease,-,ctd
D016651,Chemical,MESH:C538446,Disease,-,ctd
D011692,Chemical,MESH:C538457,Disease,-,ctd
D008713,Chemical,MESH:C538458,Disease,-,ctd
D008775,Chemical,MESH:C538458,Disease,-,ctd
D008911,Chemical,MESH:C538458,Disease,-,ctd
D010396,Chemical,MESH:C538458,Disease,-,ctd
D011796,Chemical,MESH:C538481,Disease,-,ctd
D004318,Chemical,MESH:C538499,Disease,-,ctd
D017963,Chemical,MESH:C538499,Disease,-,ctd
D014529,Chemical,MESH:C538525,Disease,-,ctd
D015215,Chemical,MESH:C538525,Disease,-,ctd
D016047,Chemical,MESH:C538525,Disease,-,ctd
D008525,Chemical,MESH:C538542,Disease,-,ctd
D003981,Chemical,MESH:C538543,Disease,-,ctd
D014805,Chemical,MESH:C538556,Disease,-,ctd
D008078,Chemical,MESH:C538646,Disease,-,ctd
D019821,Chemical,MESH:C538646,Disease,-,ctd
D011239,Chemical,MESH:C540770,Disease,-,ctd
C055122,Chemical,MESH:C541083,Disease,-,ctd
C059514,Chemical,MESH:C541083,Disease,-,ctd
C081331,Chemical,MESH:C541083,Disease,-,ctd
C089730,Chemical,MESH:C541083,Disease,-,ctd
C425931,Chemical,MESH:C541083,Disease,-,ctd
D001629,Chemical,MESH:C541083,Disease,-,ctd
D001786,Chemical,MESH:C541083,Disease,-,ctd
D002794,Chemical,MESH:C541083,Disease,-,ctd
D002857,Chemical,MESH:C541083,Disease,-,ctd
D003300,Chemical,MESH:C541083,Disease,-,ctd
D004041,Chemical,MESH:C541083,Disease,-,ctd
D004731,Chemical,MESH:C541083,Disease,-,ctd
D005492,Chemical,MESH:C541083,Disease,-,ctd
D005632,Chemical,MESH:C541083,Disease,-,ctd
D005938,Chemical,MESH:C541083,Disease,-,ctd
D007501,Chemical,MESH:C541083,Disease,-,ctd
D008055,Chemical,MESH:C541083,Disease,-,ctd
D008715,Chemical,MESH:C541083,Disease,-,ctd
D010654,Chemical,MESH:C541083,Disease,-,ctd
D010936,Chemical,MESH:C541083,Disease,-,ctd
D011239,Chemical,MESH:C541083,Disease,-,ctd
D013395,Chemical,MESH:C541083,Disease,-,ctd
D013629,Chemical,MESH:C541083,Disease,-,ctd
D014280,Chemical,MESH:C541083,Disease,-,ctd
D014415,Chemical,MESH:C541083,Disease,-,ctd
D014635,Chemical,MESH:C541083,Disease,-,ctd
D017312,Chemical,MESH:C541083,Disease,-,ctd
D020849,Chemical,MESH:C541083,Disease,-,ctd
D020909,Chemical,MESH:C541083,Disease,-,ctd
D004054,Chemical,MESH:C548006,Disease,-,ctd
D017239,Chemical,MESH:C554498,Disease,-,ctd
D003907,Chemical,MESH:C562707,Disease,-,ctd
D005938,Chemical,MESH:C562707,Disease,-,ctd
D006854,Chemical,MESH:C562707,Disease,-,ctd
C030852,Chemical,MESH:C562729,Disease,-,ctd
C067311,Chemical,MESH:C562729,Disease,-,ctd
C095424,Chemical,MESH:C562729,Disease,-,ctd
C468271,Chemical,MESH:C562729,Disease,-,ctd
D002945,Chemical,MESH:C562729,Disease,-,ctd
D005472,Chemical,MESH:C562729,Disease,-,ctd
D014751,Chemical,MESH:C562729,Disease,-,ctd
D015032,Chemical,MESH:C562729,Disease,-,ctd
D015112,Chemical,MESH:C562729,Disease,-,ctd
D016685,Chemical,MESH:C562729,Disease,-,ctd
C095424,Chemical,MESH:C562730,Disease,-,ctd
C059514,Chemical,MESH:C562839,Disease,-,ctd
C068329,Chemical,MESH:C562839,Disease,-,ctd
C059514,Chemical,MESH:C563161,Disease,-,ctd
D001507,Chemical,MESH:C563515,Disease,-,ctd
D003907,Chemical,MESH:C563515,Disease,-,ctd
D008558,Chemical,MESH:C563515,Disease,-,ctd
D015282,Chemical,MESH:C566417,Disease,-,ctd
C011890,Chemical,MESH:C572845,Disease,-,ctd
C012457,Chemical,MESH:C572845,Disease,-,ctd
C014659,Chemical,MESH:C572845,Disease,-,ctd
C471405,Chemical,MESH:C572845,Disease,-,ctd
D002110,Chemical,MESH:C572845,Disease,-,ctd
D007455,Chemical,MESH:C572845,Disease,-,ctd
D008713,Chemical,MESH:C572845,Disease,-,ctd
D010634,Chemical,MESH:C572845,Disease,-,ctd
D013412,Chemical,MESH:C572845,Disease,-,ctd
D013418,Chemical,MESH:C572845,Disease,-,ctd
D003520,Chemical,MESH:C574275,Disease,-,ctd
D019256,Chemical,MESH:C574275,Disease,-,ctd
D003042,Chemical,MESH:D000006,Disease,-,ctd
D004656,Chemical,MESH:D000006,Disease,-,ctd
D007538,Chemical,MESH:D000006,Disease,-,ctd
D008787,Chemical,MESH:D000006,Disease,-,ctd
C056619,Chemical,MESH:D000008,Disease,-,ctd
D013467,Chemical,MESH:D000008,Disease,-,ctd
D013629,Chemical,MESH:D000008,Disease,-,ctd
C005219,Chemical,MESH:D000013,Disease,-,ctd
C011512,Chemical,MESH:D000013,Disease,-,ctd
C017160,Chemical,MESH:D000013,Disease,-,ctd
C017690,Chemical,MESH:D000013,Disease,-,ctd
C022921,Chemical,MESH:D000013,Disease,-,ctd
C029217,Chemical,MESH:D000013,Disease,-,ctd
C029536,Chemical,MESH:D000013,Disease,-,ctd
C030984,Chemical,MESH:D000013,Disease,-,ctd
C031181,Chemical,MESH:D000013,Disease,-,ctd
C035207,Chemical,MESH:D000013,Disease,-,ctd
C035208,Chemical,MESH:D000013,Disease,-,ctd
C055506,Chemical,MESH:D000013,Disease,-,ctd
C496186,Chemical,MESH:D000013,Disease,-,ctd
C529372,Chemical,MESH:D000013,Disease,-,ctd
D000432,Chemical,MESH:D000013,Disease,-,ctd
D000927,Chemical,MESH:D000013,Disease,-,ctd
D001379,Chemical,MESH:D000013,Disease,-,ctd
D001564,Chemical,MESH:D000013,Disease,-,ctd
D002104,Chemical,MESH:D000013,Disease,-,ctd
D002220,Chemical,MESH:D000013,Disease,-,ctd
D003300,Chemical,MESH:D000013,Disease,-,ctd
D003520,Chemical,MESH:D000013,Disease,-,ctd
D003632,Chemical,MESH:D000013,Disease,-,ctd
D003634,Chemical,MESH:D000013,Disease,-,ctd
D004837,Chemical,MESH:D000013,Disease,-,ctd
D005492,Chemical,MESH:D000013,Disease,-,ctd
D005493,Chemical,MESH:D000013,Disease,-,ctd
D005641,Chemical,MESH:D000013,Disease,-,ctd
D005947,Chemical,MESH:D000013,Disease,-,ctd
D006118,Chemical,MESH:D000013,Disease,-,ctd
D007069,Chemical,MESH:D000013,Disease,-,ctd
D008070,Chemical,MESH:D000013,Disease,-,ctd
D008466,Chemical,MESH:D000013,Disease,-,ctd
D008627,Chemical,MESH:D000013,Disease,-,ctd
D008767,Chemical,MESH:D000013,Disease,-,ctd
D010100,Chemical,MESH:D000013,Disease,-,ctd
D010578,Chemical,MESH:D000013,Disease,-,ctd
D010672,Chemical,MESH:D000013,Disease,-,ctd
D011344,Chemical,MESH:D000013,Disease,-,ctd
D011441,Chemical,MESH:D000013,Disease,-,ctd
D011619,Chemical,MESH:D000013,Disease,-,ctd
D011739,Chemical,MESH:D000013,Disease,-,ctd
D012254,Chemical,MESH:D000013,Disease,-,ctd
D013749,Chemical,MESH:D000013,Disease,-,ctd
D013827,Chemical,MESH:D000013,Disease,-,ctd
D013852,Chemical,MESH:D000013,Disease,-,ctd
D014212,Chemical,MESH:D000013,Disease,-,ctd
D014260,Chemical,MESH:D000013,Disease,-,ctd
D014293,Chemical,MESH:D000013,Disease,-,ctd
D014303,Chemical,MESH:D000013,Disease,-,ctd
D014635,Chemical,MESH:D000013,Disease,-,ctd
D014750,Chemical,MESH:D000013,Disease,-,ctd
D014810,Chemical,MESH:D000013,Disease,-,ctd
D015122,Chemical,MESH:D000013,Disease,-,ctd
D016604,Chemical,MESH:D000013,Disease,-,ctd
D019324,Chemical,MESH:D000013,Disease,-,ctd
D019833,Chemical,MESH:D000013,Disease,-,ctd
C000541,Chemical,MESH:D000014,Disease,-,ctd
C000944,Chemical,MESH:D000014,Disease,-,ctd
C001079,Chemical,MESH:D000014,Disease,-,ctd
C002701,Chemical,MESH:D000014,Disease,-,ctd
C004925,Chemical,MESH:D000014,Disease,-,ctd
C005219,Chemical,MESH:D000014,Disease,-,ctd
